Run #;Training error; Validation error; Test error; Num. Instructions; Running time (s)
1;0,045020;0,076889;0,048415;12;49,085658
2;0,053932;0,081729;0,058058;7;68,680032
3;0,048243;0,076857;0,056283;11;51,919199
4;0,046857;0,073311;0,047935;11;51,602043
5;0,048758;0,074816;0,049331;13;57,743392
6;0,056249;0,077289;0,057522;18;83,158647
7;0,048218;0,080639;0,060308;20;59,793524
8;0,046277;0,070795;0,042057;15;51,187798
9;0,048811;0,076943;0,055166;15;61,171263
10;0,057802;0,080898;0,059006;9;43,923713
Best;0,045020;0,070795;0,042057;7;43,923713
Average;0,050017;0,077017;0,053408;13,100000;57,826527
StdDev;0,004161;0,003283;0,005738;3,780212;10,779530
